university,department_code,course_number,title,description,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal
Rensselaer Polytechnic Institute,ARCH,4690,Case Studies: Investigations into Architectural Knowledge,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,2330,Structures 1,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,4730,Sustainable Building Design Strategies,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,4770,Architectural Design Studio 5,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,4780,Architectural Design Studio 6,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,4740,Building Systems and Environment,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,4790,Architectural Design Studio 7,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,2630,Graduate Architecture Design 3,Prerequisites/Corequisites: Prerequisite: ARCH 2620. When Offered: Spring and summer terms annually. Credit Hours: 6 Back to Top | Print-Friendly Page [ Add to Portfolio ] All catalogs © 2019 Rensselaer Polytechnic Institute. Powered by the Acalog™ Academic Catalog Management System™ (ACMS™) . Mobile Site .,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,4820,Integrated Design Schematic,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,4840,Architectural Acoustics 1,"There are no prerequisites, but the course may be used as the starting point for a certificate in Architectural Acoustics, a concentration in an architecture student’s professional electives, or the beginning of a master’s degree in acoustics. The course covers basic principles of sound, room acoustics, sound absorption in rooms, sound isolation and privacy, acoustics of mechanical systems, and sound quality. After both Architectural Acoustics 1 and 2, the student should be prepared for a basic entry-level position in either acoustics in architecture or in acoustical consulting. When Offered: Fall term annually. Credit Hours: 4 Back to Top | Print-Friendly Page [ Add to Portfolio ] All catalogs © 2019 Rensselaer Polytechnic Institute. Powered by the Acalog™ Academic Catalog Management System™ (ACMS™) . Mobile Site .",False,False,False,False
Rensselaer Polytechnic Institute,ARCH,4850,Architectural Acoustics 2,"This process will include continued studies of acoustics measurements, simulated sound fields, community noise issues, and professional practice in acoustics consulting. The course will also have detailed lectures on concert hall acoustics, sound quality, and synthesized sound fields. Students will be introduced to a variety of simulation software and measurement equipment in the Acoustics Research Laboratory. After both Architectural Acoustics 1 and 2, the student should be prepared for a basic entry-level position in either acoustics in architecture or in acoustical consulting. Prerequisites/Corequisites: Prerequisite: ARCH 4840 or instructor approval. When Offered: Spring term annually. Credit Hours: 4 Back to Top | Print-Friendly Page [ Add to Portfolio ] All catalogs © 2019 Rensselaer Polytechnic Institute. Powered by the Acalog™ Academic Catalog Management System™ (ACMS™) . Mobile Site .",False,False,False,False
Rensselaer Polytechnic Institute,ARCH,4860,Applied Psychoacoustics,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,2960,Topics in Architecture and Environmental Design,Credit Hours: 1 to 4 Back to Top | Print-Friendly Page [ Add to Portfolio ] All catalogs © 2019 Rensselaer Polytechnic Institute. Powered by the Acalog™ Academic Catalog Management System™ (ACMS™) . Mobile Site .,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,4870,Sonics Research Lab 1,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,4880,Aural Architecture,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,4890,Engineering Acoustics,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,4910,Final Project Design Research Seminar,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,4110,An Architectural Genealogy 2,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,4940,Advanced Individual Projects in Architecture and Environmental Design,Credit Hours: 1 to 6 Back to Top | Print-Friendly Page [ Add to Portfolio ] All catalogs © 2019 Rensselaer Polytechnic Institute. Powered by the Acalog™ Academic Catalog Management System™ (ACMS™) . Mobile Site .,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,5100,"History, Theory, Criticism 1",,False,False,False,False
